cl_opinion_id,case_name,year,issue_area,times_cited,cites_made,community,in_giant,x,y,courtlistener_url
100015,,1922,Economic Activity,9,7,9,1,514.83,517.96,https://www.courtlistener.com/opinion/100015/x/
100012,,1922,Federal Taxation,1,7,8,1,577.05,486.81,https://www.courtlistener.com/opinion/100012/x/
100013,,1922,Federal Taxation,4,0,0,1,690.63,434.19,https://www.courtlistener.com/opinion/100013/x/
100010,,1922,Civil Rights,54,27,5,1,340.49,433.57,https://www.courtlistener.com/opinion/100010/x/
100011,,1922,Judicial Power,34,18,9,1,353.93,544.51,https://www.courtlistener.com/opinion/100011/x/
100018,,1922,Unions,36,14,4,1,416.41,431.59,https://www.courtlistener.com/opinion/100018/x/
100019,,1922,Judicial Power,0,2,10,1,236.32,679.91,https://www.courtlistener.com/opinion/100019/x/
91070,,1884,Civil Rights,4,3,7,1,472.45,725.7,https://www.courtlistener.com/opinion/91070/x/
95799,,1903,Economic Activity,5,14,3,1,629.36,431.83,https://www.courtlistener.com/opinion/95799/x/
95798,,1903,Private Action,1,3,7,1,191.14,712.81,https://www.courtlistener.com/opinion/95798/x/
95797,,1903,Due Process,23,12,5,1,393.12,430.44,https://www.courtlistener.com/opinion/95797/x/
95793,,1903,Due Process,44,24,3,1,461.61,537.68,https://www.courtlistener.com/opinion/95793/x/
95792,,1903,Civil Rights,36,13,11,1,444.6,555.04,https://www.courtlistener.com/opinion/95792/x/
95791,,1903,Economic Activity,0,0,,0,30.0,1060,https://www.courtlistener.com/opinion/95791/x/
91132,,1884,Civil Rights,6,2,7,1,515.41,760.11,https://www.courtlistener.com/opinion/91132/x/
91071,,1884,Federal Taxation,1,0,5,1,49.37,593.54,https://www.courtlistener.com/opinion/91071/x/
87998,,1869,Economic Activity,1,0,6,1,480.77,878.43,https://www.courtlistener.com/opinion/87998/x/
105476,,1957,Criminal Procedure,1,3,2,1,257.9,267.67,https://www.courtlistener.com/opinion/105476/x/
97029,,1909,Economic Activity,0,3,10,1,453.15,728.95,https://www.courtlistener.com/opinion/97029/x/
96135,,1904,Judicial Power,1,3,7,1,334.27,641.34,https://www.courtlistener.com/opinion/96135/x/
99649,,1920,Economic Activity,17,12,8,1,548.04,401.46,https://www.courtlistener.com/opinion/99649/x/
97028,,1909,Federalism,2,0,2,1,226.01,253.38,https://www.courtlistener.com/opinion/97028/x/
90310,,1881,Economic Activity,0,0,,0,40.0,1060,https://www.courtlistener.com/opinion/90310/x/
90311,,1881,Criminal Procedure,54,4,14,1,388.35,424.78,https://www.courtlistener.com/opinion/90311/x/
90312,,1881,Judicial Power,15,5,7,1,537.12,642.44,https://www.courtlistener.com/opinion/90312/x/
90313,,1881,Economic Activity,4,0,7,1,421.63,858.07,https://www.courtlistener.com/opinion/90313/x/
90314,,1881,Judicial Power,13,0,7,1,535.61,585.55,https://www.courtlistener.com/opinion/90314/x/
90315,,1881,Civil Rights,15,1,5,1,287.82,401.78,https://www.courtlistener.com/opinion/90315/x/
90316,,1881,Judicial Power,4,1,10,1,256.23,647.72,https://www.courtlistener.com/opinion/90316/x/
90317,,1881,Judicial Power,9,1,6,1,295.77,621.62,https://www.courtlistener.com/opinion/90317/x/
90318,,1881,Economic Activity,0,0,,0,50.0,1060,https://www.courtlistener.com/opinion/90318/x/
90319,,1881,Economic Activity,4,1,7,1,643.24,525.76,https://www.courtlistener.com/opinion/90319/x/
87659,,1865,Private Action,0,0,,0,60.0,1060,https://www.courtlistener.com/opinion/87659/x/
97027,,1909,Judicial Power,7,16,10,1,431.67,598.51,https://www.courtlistener.com/opinion/97027/x/
99607,,1920,Federalism,10,2,1,1,492.21,419.93,https://www.courtlistener.com/opinion/99607/x/
96133,,1904,Judicial Power,6,2,7,1,517.85,578.63,https://www.courtlistener.com/opinion/96133/x/
99603,,1920,Civil Rights,0,3,11,1,482.3,742.49,https://www.courtlistener.com/opinion/99603/x/
99602,,1920,Unions,7,2,8,1,442.17,509.27,https://www.courtlistener.com/opinion/99602/x/
97025,,1909,Private Action,6,9,7,1,529.08,499.55,https://www.courtlistener.com/opinion/97025/x/
94541,,1896,Attorneys,0,0,,0,70.0,1060,https://www.courtlistener.com/opinion/94541/x/
94540,,1896,Judicial Power,0,0,,0,80.0,1060,https://www.courtlistener.com/opinion/94540/x/
94543,,1896,Federal Taxation,1,3,0,1,243.19,377.68,https://www.courtlistener.com/opinion/94543/x/
94542,,1896,Federal Taxation,5,2,11,1,516.94,572.14,https://www.courtlistener.com/opinion/94542/x/
94545,,1896,Attorneys,0,3,7,1,599.28,711.02,https://www.courtlistener.com/opinion/94545/x/
87657,,1865,Economic Activity,0,0,,0,90.0,1060,https://www.courtlistener.com/opinion/87657/x/
94547,,1896,Judicial Power,2,0,9,1,563.62,660.77,https://www.courtlistener.com/opinion/94547/x/
94546,,1896,Economic Activity,10,5,7,1,463.86,612.69,https://www.courtlistener.com/opinion/94546/x/
94549,,1896,Private Action,3,10,11,1,572.25,712.35,https://www.courtlistener.com/opinion/94549/x/
94548,,1896,Economic Activity,1,5,3,1,704.98,474.47,https://www.courtlistener.com/opinion/94548/x/
87656,,1865,Civil Rights,0,0,,0,100.0,1060,https://www.courtlistener.com/opinion/87656/x/
98593,,1915,Civil Rights,4,4,11,1,372.81,639.67,https://www.courtlistener.com/opinion/98593/x/
2784697,,2015,Economic Activity,0,37,5,1,384.26,481.89,https://www.courtlistener.com/opinion/2784697/x/
97023,,1909,Economic Activity,83,7,1,1,431.75,426.72,https://www.courtlistener.com/opinion/97023/x/
97931,,1913,Economic Activity,7,7,9,1,501.01,508.33,https://www.courtlistener.com/opinion/97931/x/
145848,,2009,Civil Rights,6,33,13,1,329.12,361.25,https://www.courtlistener.com/opinion/145848/x/
97934,,1913,Criminal Procedure,12,5,5,1,272.33,500.8,https://www.courtlistener.com/opinion/97934/x/
97937,,1913,Economic Activity,0,4,11,1,686.3,718.83,https://www.courtlistener.com/opinion/97937/x/
97021,,1909,Economic Activity,39,7,6,1,426.77,503.93,https://www.courtlistener.com/opinion/97021/x/
89371,,1876,Economic Activity,11,1,11,1,446.78,654.15,https://www.courtlistener.com/opinion/89371/x/
94278,,1895,Judicial Power,1,8,3,1,594.81,490.87,https://www.courtlistener.com/opinion/94278/x/
87996,,1869,Economic Activity,2,0,7,1,723.97,570.35,https://www.courtlistener.com/opinion/87996/x/
97020,,1909,Economic Activity,7,6,11,1,578.67,583.28,https://www.courtlistener.com/opinion/97020/x/
92260,,1888,Economic Activity,8,16,4,1,703.97,329.47,https://www.courtlistener.com/opinion/92260/x/
92266,,1888,Economic Activity,0,1,4,1,675.22,336.8,https://www.courtlistener.com/opinion/92266/x/
92267,,1888,Economic Activity,2,1,15,1,169.81,587.05,https://www.courtlistener.com/opinion/92267/x/
87997,,1868,Economic Activity,5,0,0,1,298.49,624.64,https://www.courtlistener.com/opinion/87997/x/
89580,,1877,Judicial Power,2,0,7,1,644.26,706.35,https://www.courtlistener.com/opinion/89580/x/
88394,,1871,Judicial Power,2,0,3,1,752.18,491.58,https://www.courtlistener.com/opinion/88394/x/
85172,,1817,Private Action,0,0,,0,110.0,1060,https://www.courtlistener.com/opinion/85172/x/
111548,,1985,Other/Unknown,0,0,,0,120.0,1060,https://www.courtlistener.com/opinion/111548/x/
111549,,1985,Due Process,14,23,1,1,359.96,367.86,https://www.courtlistener.com/opinion/111549/x/
85173,,1817,Due Process,0,0,,0,130.0,1060,https://www.courtlistener.com/opinion/85173/x/
111542,,1985,Criminal Procedure,29,33,2,1,317.05,345.55,https://www.courtlistener.com/opinion/111542/x/
111543,,1985,Judicial Power,1,1,1,1,434.77,227.63,https://www.courtlistener.com/opinion/111543/x/
111540,,1986,Civil Rights,0,14,14,1,482.17,397.68,https://www.courtlistener.com/opinion/111540/x/
111541,,1985,Criminal Procedure,10,27,2,1,372.5,394.23,https://www.courtlistener.com/opinion/111541/x/
111546,,1985,Criminal Procedure,15,21,2,1,283.9,302.07,https://www.courtlistener.com/opinion/111546/x/
111547,,1985,Economic Activity,4,31,14,1,335.18,364.04,https://www.courtlistener.com/opinion/111547/x/
111544,,1985,Economic Activity,13,12,3,1,387.52,435.71,https://www.courtlistener.com/opinion/111544/x/
111545,,1986,Criminal Procedure,0,16,2,1,287.12,364.43,https://www.courtlistener.com/opinion/111545/x/
